Time,Amplitude
0.000635,-1.332401
0.000636,-1.383826
0.000636,-1.027837
0.000636,-0.369239
0.000637,0.398067
0.000637,1.048177
0.000637,1.389691
0.000638,1.322063
0.000638,0.865203
0.000639,0.153616
0.000639,-0.603197
0.000639,-1.182421
0.000640,-1.413526
0.000640,-1.228472
0.000640,-0.681740
0.000641,0.065704
0.000641,0.793805
0.000642,1.288199
0.000642,1.403332
0.000642,1.105306
0.000643,0.481865
0.000643,-0.283443
0.000643,-0.965302
0.000644,-1.362964
0.000644,-1.359353
0.000645,-0.955531
0.000645,-0.270389
0.000645,0.494359
0.000646,1.113561
0.000646,1.404918
0.000646,1.282649
0.000647,0.782752
0.000647,0.052404
0.000648,-0.693373
0.000648,-1.235012
0.000648,-1.413049
0.000649,-1.175066
0.000649,-0.591130
0.000649,0.166843
0.000650,0.875694
0.000650,1.326731
0.000651,1.387161
0.000651,1.039195
0.000651,0.385276
0.000652,-1.361624
0.000652,-0.961648
0.000652,-0.278551
0.000653,0.486555
0.000653,1.108413
0.000654,1.403941
0.000654,1.286131
0.000654,0.789668
0.000655,0.060717
0.000655,-0.686109
0.000655,-1.230937
0.000656,-1.413362
0.000656,-1.179675
0.000657,-0.598678
0.000657,0.158578
0.000657,0.869146
0.000658,1.323827
0.000658,1.388757
0.000658,1.044820
0.000659,0.393274
0.000659,-0.374056
0.000660,-1.031259
0.000660,-1.384847
0.000660,-1.330719
0.000661,-0.884811
0.000661,-0.178404
0.000661,0.580528
0.000662,1.168545
0.000662,1.412528
0.000663,1.240645
0.000663,0.703501
0.000663,-0.040762
0.000664,-0.773025
0.000664,-1.277699
0.000664,-1.406203
0.000665,-1.120704
0.000665,-0.505255
0.000666,0.258947
0.000666,0.946912
0.000666,1.356094
0.000667,1.366025
0.000667,0.973782
0.000667,0.294845
0.000668,-0.470898
0.000668,-1.098002
0.000669,-1.401842
0.000669,-1.292962
0.000669,-0.803418
0.000670,-0.077337
0.000670,0.671512
0.000670,1.222660
0.000671,1.413841
0.000671,1.188771
0.000672,0.613711
0.000672,-0.142032
0.000672,-0.855960
0.000673,-1.317882
0.000673,-1.391804
0.000673,-1.055961
0.000674,-0.409231
0.000674,0.357983
0.000675,1.019801
0.000675,1.381378
0.000675,1.336260
0.000676,0.897730
0.000676,0.194898
0.000676,-0.565315
0.000677,-1.159092
0.000677,-1.411618
0.000678,-1.248546
0.000678,-0.717887
0.000678,0.024127
0.000679,0.759038
0.000679,1.270478
0.000679,1.407874
0.000680,1.130775
0.000680,0.520761
0.000681,-0.242571
0.000681,-0.934487
0.000681,-1.351279
0.000682,-1.370237
0.000682,-0.985781
0.000682,-0.311099
0.000683,0.455175
0.000683,1.087440
0.000684,1.399549
0.000684,1.299613
0.000684,0.817056
0.000685,0.093947
0.000685,-0.656821
0.000685,-1.214213
0.000686,-1.414125
0.000686,-1.197702
0.000687,-0.628660
0.000687,0.125467
0.000687,0.842655
0.000688,1.311755
0.000688,1.394658
0.000688,1.066957
0.000689,0.425130
0.000689,-0.341860
0.000690,-1.008202
0.000690,-1.377717
0.000690,-1.341615
0.000691,-0.910525
0.000691,-0.211365
0.000691,0.550023
0.000692,1.149478
0.000692,1.410513
0.000693,1.256275
0.000693,0.732174
0.000693,-0.007488
0.000694,-0.744945
0.000694,-1.263081
0.000694,-1.409351
0.000695,-1.140690
0.000695,1.308623
0.000696,1.396013
0.000696,1.072399
0.000696,0.433058
0.000697,-0.333781
0.000697,-1.002350
0.000697,-1.375816
0.000698,-1.344224
0.000698,-0.916876
0.000699,-0.219588
0.000699,0.542349
0.000699,1.144612
0.000700,1.409887
0.000700,1.260074
0.000700,0.739279
0.000701,0.000832
0.000701,-0.737860
0.000701,-1.259317
0.000702,-1.410016
0.000702,-1.145588
0.000703,-0.543885
0.000703,0.217944
0.000703,0.915608
0.000704,1.343706
0.000704,1.376200
0.000704,1.003524
0.000705,0.335398
0.000705,-0.431473
0.000706,-1.071313
0.000706,-1.395746
0.000706,-1.309253
0.000707,-0.837300
0.000707,-0.118836
0.000707,0.634615
0.000708,1.201228
0.000708,1.414184
0.000709,1.210787
0.000709,0.650919
0.000709,-0.100587
0.000710,-0.822479
0.000710,-1.302223
0.000710,-1.398577
0.000711,-1.083172
0.000711,-0.448868
0.000712,0.317588
0.000712,0.990543
0.000712,1.371869
0.000713,1.349300
0.000713,0.929481
0.000713,0.236011
0.000714,-0.526944
0.000714,-1.134760
0.000715,-1.408488
0.000715,-1.267541
0.000715,-0.753413
0.000716,-0.017472
0.000716,0.723614
0.000716,1.251658
0.000717,1.411199
0.000717,1.155266
0.000718,0.559208
0.000718,-0.201488
0.000718,-0.902863
0.000719,-1.338424
0.000719,-1.379937
0.000719,-1.015179
0.000720,-0.351539
0.000720,0.415597
0.000721,1.060377
0.000721,1.392969
0.000721,1.315453
0.000722,0.850652
0.000722,0.135408
0.000722,-0.619701
0.000723,-1.192363
0.000723,-1.413978
0.000724,-1.219301
0.000724,-0.665647
0.000724,0.083983
0.000725,0.808886
0.000725,1.295644
0.000725,1.400948
0.000726,1.093795
0.000726,0.464616
0.000727,-0.301352
0.000727,-0.978598
0.000727,-1.367733
0.000728,-1.354190
0.000728,-0.941957
0.000728,-0.252401
0.000729,0.511466
0.000729,1.124751
0.000730,1.406895
0.000730,1.274832
0.000730,0.767443
0.000731,0.034109
0.000731,-0.709267
0.000731,-1.243826
0.000732,-1.412187
0.000732,-1.164783
0.000733,-0.574452
0.000733,0.185004
0.000733,0.889993
0.000734,1.332957
0.000734,1.383482
0.000734,1.026693
0.000735,0.367632
0.000735,-0.399664
0.000736,-1.049294
0.000736,-1.389999
0.000736,-1.321471
0.000737,-0.863886
0.000737,-0.151962
0.000737,0.604701
0.000738,1.183333
0.000738,1.413577
0.000739,-1.227646
0.000739,-0.680282
0.000739,0.067367
0.000740,0.795181
0.000740,1.288885
0.000740,1.403125
0.000741,1.104267
0.000741,0.480300
0.000742,-0.285073
0.000742,-0.966518
0.000742,-1.363407
0.000743,-1.358893
0.000743,-0.954304
0.000743,-0.268756
0.000744,0.495917
0.000744,1.114586
0.000745,1.405107
0.000745,1.281947
0.000745,0.781366
0.000746,0.050741
0.000746,-0.694823
0.000746,-1.235822
0.000747,-1.412980
0.000747,-1.174139
0.000748,-0.589618
0.000748,0.168495
0.000748,0.877000
0.000749,1.327306
0.000749,1.386837
0.000749,1.038065
0.000750,0.383675
0.000750,-0.383675
0.000751,-1.038065
0.000751,-1.386837
0.000751,-1.327306
0.000752,-0.877000
0.000752,-0.168495
0.000752,0.589618
0.000753,1.174139
0.000753,1.412980
0.000754,1.235822
0.000754,0.694823
0.000754,-0.050741
0.000755,-0.781366
0.000755,-1.281947
0.000755,-1.405107
0.000756,-1.114586
0.000756,-0.495917
0.000757,0.268756
0.000757,0.954304
0.000757,1.358893
0.000758,1.363407
0.000758,0.966518
0.000758,0.285073
0.000759,-0.480300
0.000759,-1.104267
0.000760,-1.403125
0.000760,-1.288885
0.000760,-0.795181
0.000761,-0.067367
0.000761,0.680282
0.000761,1.227646
0.000762,1.413577
0.000762,1.183333
0.000763,0.604701
0.000763,-0.151962
0.000763,-0.863886
0.000764,-1.321471
0.000764,-1.389999
0.000764,-1.049294
0.000765,-0.399664
0.000765,0.367632
0.000766,1.026693
0.000766,1.383482
0.000766,1.332957
0.000767,0.889993
0.000767,0.185004
0.000767,-0.574452
0.000768,-1.164783
0.000768,-1.412187
0.000769,-1.243826
0.000769,-0.709267
0.000769,0.034109
0.000770,0.767443
0.000770,1.274832
0.000770,1.406895
0.000771,1.124751
0.000771,0.511466
0.000772,-0.252401
0.000772,-0.941957
0.000772,-1.354190
0.000773,-1.367733
0.000773,-0.978598
0.000773,-0.301352
0.000774,0.464616
0.000774,1.093795
0.000775,1.400948
0.000775,1.295644
0.000775,0.808886
0.000776,0.083983
0.000776,-0.665647
0.000776,-1.219301
0.000777,-1.413978
0.000777,-1.192363
0.000778,-0.619701
0.000778,0.135408
0.000778,0.850652
0.000779,1.315453
0.000779,1.392969
0.000779,1.060377
0.000780,0.415597
0.000780,-0.351539
0.000781,-1.015179
0.000781,-1.379937
0.000781,-1.338424
0.000782,-0.902863
0.000782,0.201488
0.000782,-0.559208
0.000783,-1.155266
0.000783,-1.411199
0.000784,-1.251658
0.000784,-0.723614
0.000784,0.017472
0.000785,0.753413
0.000785,1.267541
0.000785,1.408488
0.000786,1.134760
0.000786,0.526944
0.000787,-0.236011
0.000787,-0.929481
0.000787,-1.349300
0.000788,-1.371869
0.000788,-0.990543
0.000788,-0.317588
0.000789,0.448868
0.000789,1.083172
0.000790,1.398577
0.000790,1.302223
0.000790,0.822479
0.000791,0.100587
0.000791,-0.650919
0.000791,-1.210787
0.000792,-1.414184
0.000792,-1.201228
0.000793,-0.634615
0.000793,0.118836
0.000793,0.837300
0.000794,1.309253
0.000794,1.395746
0.000794,1.071313
0.000795,0.431473
0.000795,-0.335398
0.000796,-1.003524
0.000796,-1.376200
0.000796,-1.343706
0.000797,-0.915608
0.000797,-0.217944
0.000797,0.543885
0.000798,1.145588
0.000798,1.410016
0.000799,1.259317
0.000799,0.737860
0.000799,-0.000832
0.000800,-0.739279
0.000800,-1.260074
0.000800,-1.409887
0.000801,-1.144612
0.000801,-0.542349
0.000801,0.219588
0.000802,0.916876
0.000802,1.344224
0.000803,1.375816
0.000803,1.002350
0.000803,0.333781
0.000804,-0.433058
0.000804,-1.072399
0.000804,-1.396013
0.000805,-1.308623
0.000805,-0.835959
0.000806,-0.117178
0.000806,0.636102
0.000806,1.202105
0.000807,1.414194
0.000807,1.209926
0.000807,0.649442
0.000808,-0.102247
0.000808,-0.823832
0.000809,-1.302872
0.000809,-1.398329
0.000809,-1.082102
0.000810,-0.447290
0.000810,0.319210
0.000810,0.991730
0.000811,1.372272
0.000811,1.348801
0.000812,0.928226
0.000812,0.234370
0.000812,-0.528488
0.000813,-1.135752
0.000813,-1.408637
0.000813,-1.266802
0.000814,-0.752004
0.000814,-0.015808
0.000815,0.725043
0.000815,1.252432
